103,4
106,2
112,1
116,5
119,7
11,3
122,1
129,6
130,1
132,1
137,1
138,2
139,1
140,3
142,3
147,3
155,1
156,3
160,1
165,3
170,3
172,3
176,2
181,2
184,2
186,3
191,0
198,1
19,2
1,1
201,3
203,6
206,4
207,2
208,2
211,2
213,2
215,1
216,1
221,1
222,3
228,3
22,4
231,1
236,3
238,3
246,1
247,0
250,0
253,4
254,1
255,2
256,3
25,3
261,1
263,2
264,3
265,3
267,1
271,2
274,1
276,0
280,4
283,3
285,1
286,3
287,2
288,2
28,2
290,3
298,2
29,1
306,1
30,3
315,3
316,2
317,1
318,1
31,3
323,6
324,3
325,4
328,2
38,0
40,2
42,2
44,2
47,4
4,5
57,1
58,1
5,0
60,3
62,4
65,7
67,6
6,2
71,2
74,3
75,2
79,3
80,6
81,3
84,3
88,3
90,3
94,2
97,4
99,5
9,2
